track_name,artist_name,mood,Unnamed: 0,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Dil Dhadakne Do ,Joi Barua & Suraj Jagan,HAPPY,1141104,230319,2011,59,0.778,0.599,2,-4.758,1,0.032,0.0705,0.0,0.59,0.949,116.951
Ek Ladki Bheegi Bhaagi si,Kishore Kumar,HAPPY,17994,236800,1958,12,0.563,0.455,4,-7.01,0,0.0551,0.8079999999999999,0.0,0.154,0.892,120.784
Ratchet Happy Birthday,Drake,HAPPY,341436,207307,2018,52,0.657,0.571,2,-12.519,1,0.139,0.11,0.00123,0.0735,0.622,167.958
Love On ,Selena Gomez,HAPPY,1546,229080,2015,69,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02
I Know ?,Travis Scott,HAPPY,341757,156886,2018,63,0.804,0.763,2,-5.48,1,0.0519,0.0678,0.0,0.368,0.0585,136.052
Liggi,Ritviz,HAPPY,493870,181176,2021,67,0.786,0.667,5,-8.272,1,0.054,0.0112,0.053,0.074,0.688,102.046
Udd Gaye,Ritviz,HAPPY,383944,180414,2019,64,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961
Chalo Chalein,Ritviz,HAPPY,507655,184371,2021,56,0.461,0.5,1,-9.828,1,0.0614,0.00245,0.03,0.116,0.572,76.176
Baaraat,Ritviz,HAPPY,494038,222096,2021,61,0.678,0.449,4,-9.379,0,0.0869,0.477,0.0,0.536,0.606,100.033
Sage,Ritviz,HAPPY,383999,230204,2019,59,0.663,0.412,5,-8.195,0,0.364,0.00434,0.019,0.215,0.356,98.023
Aaj Na,Ritviz,HAPPY,561136,193426,2022,60,0.659,0.345,11,-8.464,1,0.107,0.106,0.0,0.107,0.338,84.761
Roz,Ritviz,HAPPY,507650,219240,2021,56,0.833,0.639,5,-6.964,1,0.0676,0.152,0.0,0.101,0.448,102.989
Jeet,Ritviz,HAPPY,398194,184848,2019,54,0.787,0.734,0,-6.465,1,0.0703,0.364,0.000995,0.0625,0.644,98.989
Thandi Hawa,Ritviz,HAPPY,507670,203077,2021,49,0.619,0.558,1,-12.15,0,0.177,0.0558,0.00935,0.16,0.514,195.004
Roshni,Ritviz,HAPPY,507681,216220,2021,46,0.585,0.625,6,-5.13,0,0.0765,0.0444,0.0,0.0376,0.666,164.066
"Thank u, next",Ariana Grande,HAPPY,321252,207320,2018,50,0.743,0.662,1,-5.745,1,0.0534,0.268,1.36e-06,0.102,0.408,107.027
As I am ,Justin Bieber,HAPPY,612555,174406,2023,0,0.595,0.543,11,-8.149,1,0.038,0.127,0.0,0.0975,0.109,99.928
Three little birds,Bob Marley and The Wailers,HAPPY,83644,180267,1977,79,0.8140000000000001,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404
"Me Gustas Tu 

",Manu Chao,HAPPY,95932,239987,2001,71,0.657,0.741,11,-6.822,0,0.0825,0.6629999999999999,0.494,0.222,0.908,175.949
I don't want to talk about it,Rod Steward,HAPPY,155640,200985,2014,31,0.586,0.718,1,-5.115,1,0.0333,0.0151,0.000253,0.0968,0.585,93.068
Namo Namo,Amit Trivedi,HAPPY,570289,201136,2022,20,0.713,0.594,2,-8.529,1,0.0292,0.321,0.0328,0.359,0.669,131.978
Dil Diyan Gallan,Atif Aslam,HAPPY,515909,260537,2021,67,0.717,0.64,2,-8.726,1,0.025,0.565,0.00139,0.127,0.485,105.021
Born to shine ,Diljit Dosanjh ,HAPPY,462312,213333,2020,67,0.745,0.826,6,-4.339,0,0.0866,0.357,0.0,0.302,0.674,90.149
Chaiyya chaiyaa,Sukhwinder singh,HAPPY,197996,319576,2015,39,0.357,0.628,0,-8.135,1,0.0612,0.55,3.61e-05,0.122,0.334,99.968
Jaag Uthe Hai Dard Purane,Nushrat fateh ali khan ,HAPPY,691320,586583,2001,0,0.401,0.792,3,-6.044,1,0.0444,0.205,4.86e-05,0.425,0.817,162.433
Sabaton,Christmas truce ,HAPPY,511786,318000,2021,48,0.327,0.94,9,-6.778,0,0.0637,0.00472,0.0,0.184,0.223,185.977
Kudi nu nachne de,Vishal ,HAPPY,462478,172382,2020,29,0.834,0.687,9,-7.494,1,0.0653,0.176,0.0,0.174,0.876,117.947
There's nothing holding me back ,Shaun Mendes,HAPPY,1761,199440,2017,0,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996
House of fun,Madness,HAPPY,131831,180067,1983,34,0.7440000000000001,0.924,7,-8.964,1,0.0478,0.234,0.0331,0.128,0.7909999999999999,128.656
La bamba,Ritchie Valens,HAPPY,297602,126960,2017,9,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099
Tere Bina,Shreya Ghoshal,HAPPY,351002,300750,2018,21,0.429,0.42,1,-7.255,1,0.0302,0.907,0.0265,0.0985,0.126,114.829
Tu Chahiye,Atif Aslam,HAPPY,197899,272680,2015,62,0.565,0.744,7,-5.817,1,0.0446,0.403,0.0,0.0853,0.415,134.068
Zindagi Aa Raha Hoon Main,Atif Aslam,HAPPY,197931,287708,2015,50,0.637,0.816,1,-6.772,1,0.0357,0.0916,2.19e-06,0.169,0.536,131.0
Hoor,Atif Aslam,HAPPY,293815,237360,2017,52,0.321,0.432,4,-7.777,1,0.0304,0.505,1.18e-05,0.278,0.366,150.148
Paniyon Sa,Atif Aslam,HAPPY,350565,236240,2018,56,0.523,0.768,0,-4.953,0,0.0566,0.447,0.000226,0.0833,0.669,75.03
Baarishein,Atif Aslam,HAPPY,406753,250922,2019,42,0.349,0.633,7,-3.233,0,0.0495,0.488,0.0,0.104,0.0869,74.635
Pehli Dafa,Atif Aslam,HAPPY,293770,298771,2017,68,0.679,0.537,4,-7.843,1,0.0322,0.844,3.34e-06,0.108,0.481,111.979
Tera Hua (Unplugged),Atif Aslam,HAPPY,350608,230005,2018,39,0.301,0.318,2,-7.046,1,0.0283,0.751,5.32e-06,0.161,0.245,103.451
Musafir,Atif Aslam,HAPPY,914255,229147,2006,27,0.644,0.879,2,-4.075,1,0.0863,0.461,3.36e-05,0.27,0.537,104.937
Dekhte Dekhte,Atif Aslam,HAPPY,351176,256271,2018,10,0.799,0.828,9,-4.846,0,0.0782,0.424,0.0,0.145,0.627,105.04
